Label,Michael,Jim,Pam,Dwight,Andy,Pete,Robert,Angela,Nellie,Jan,Holly,Oscar,Jo,Phyllis,Meredith,Ryan,David,Darryl,Deangelo,Kelly,Gabe,Clark,Creed,Charles,Toby,Erin,Roy,Karen,Stanley,Kevin
Season 6 Episode 2,27.27272727,7.196969697,9.090909091,11.74242424,2.651515152,0,0,1.136363636,0,0,0,2.651515152,0,0.757575758,2.272727273,1.893939394,12.87878788,5.681818182,0,1.136363636,0,0,1.515151515,0,9.848484848,1.136363636,0,0,0.757575758,0.378787879
Season 6 Episode 3,28.28947368,29.93421053,5.921052632,9.539473684,0.986842105,0,0,1.644736842,0,0,0,3.947368421,0,4.276315789,2.960526316,1.644736842,1.973684211,0,0,1.315789474,0,0,0.986842105,0,0,0.986842105,0,0,0.986842105,4.605263158
Season 6 Episode 4,32.09459459,11.82432432,12.16216216,18.58108108,6.418918919,2.027027027,0,3.040540541,0,0,0,1.689189189,0,0.337837838,0.675675676,0.675675676,0,0,0,1.013513514,0,0,0,0,0.337837838,2.027027027,0,0,1.351351351,5.743243243
Season 6 Episode 5,20.1183432,12.4260355,20.1183432,17.15976331,8.284023669,0,0,1.775147929,0,0,0,2.366863905,0,1.183431953,2.366863905,0.591715976,0,0,0,0,0,0,0,0,1.775147929,2.366863905,0,0,1.775147929,7.692307692
Season 6 Episode 6,40.39735099,4.635761589,1.655629139,16.55629139,18.87417219,0,0,0,0,0,0,5.960264901,0,0.331125828,0.993377483,1.324503311,0,0,0,0,0,0,0.331125828,0,0.993377483,2.317880795,0,0,0,5.629139073
Season 6 Episode 7,27.07006369,19.10828025,19.10828025,9.554140127,2.866242038,0,0,1.592356688,0,0,0,1.910828025,0,0.636942675,1.27388535,2.547770701,0,0,0,3.184713376,0,0,0.318471338,0,4.777070064,3.821656051,0,0,0.318471338,1.910828025
Season 6 Episode 8,27.96052632,16.11842105,12.5,4.605263158,12.17105263,0,0,3.289473684,0,0,0,3.618421053,0,2.960526316,2.631578947,0.328947368,0,2.302631579,0,0.657894737,0,0,0.986842105,0,0,5.592105263,0,0,0.986842105,3.289473684
Season 6 Episode 9,34.75609756,7.926829268,21.34146341,15.24390244,8.536585366,0,0,0.609756098,0,0,0,0.914634146,0,0.609756098,0.304878049,2.43902439,0,0,0,1.524390244,0,0,0.609756098,0,2.134146341,0.914634146,0,0,0.304878049,1.829268293
Season 6 Episode 10,27.57201646,19.34156379,4.938271605,12.34567901,9.87654321,0,0,2.469135802,0,0,0,3.29218107,0,2.057613169,1.646090535,0.411522634,1.646090535,0,0,0.411522634,0,0,0.823045267,0,0,6.172839506,0,0,2.469135802,4.526748971
Season 6 Episode 11,30.86956522,16.08695652,5.217391304,11.30434783,6.086956522,0,0,0,0,0,0,7.826086957,0,3.043478261,0.434782609,7.826086957,6.086956522,0,0,0,0,0,0.434782609,0,0,1.304347826,0,0,1.739130435,1.739130435
Season 6 Episode 12,29.43722944,16.45021645,6.060606061,15.58441558,9.523809524,0,0,1.298701299,0,0,0,0.865800866,0,1.731601732,0,1.731601732,3.896103896,0,0,0.432900433,0,0,0.432900433,0,0,9.090909091,0,0,0.865800866,2.597402597
Season 6 Episode 13,29.78056426,12.22570533,5.015673981,11.59874608,5.015673981,0,0,1.880877743,0,0,0,4.07523511,0,8.463949843,0.940438871,2.507836991,5.956112853,0,0,0.940438871,0,0,0.626959248,0,1.880877743,3.448275862,0,0,1.567398119,4.07523511
Season 6 Episode 14,48.88888889,0,5.555555556,18.88888889,1.111111111,0,0,2.222222222,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0,0,0,0,20,0,0,0,0,2.222222222
Season 6 Episode 15,35.19313305,11.15879828,10.72961373,3.862660944,4.291845494,0,0,0.858369099,0,0,0,2.145922747,3.433476395,0.429184549,0.858369099,0,14.59227468,0,0,0,7.725321888,0,0.429184549,0,0.858369099,2.575107296,0,0,0.429184549,0.429184549
Season 6 Episode 16,24.28571429,11.78571429,1.785714286,13.92857143,8.571428571,0,0,0.357142857,0,0,0,2.142857143,11.78571429,1.428571429,1.428571429,6.785714286,0,0,0,3.928571429,1.785714286,0,0,0,0,8.214285714,0,0,0,1.785714286
Season 6 Episode 17,24.48275862,22.75862069,22.75862069,11.72413793,2.75862069,0,0,4.827586207,0,0,0,0.689655172,0,1.034482759,1.034482759,0.344827586,0,0,0,0.689655172,0,0,0.344827586,0,0.344827586,2.413793103,0,0,0.689655172,3.103448276
Season 6 Episode 18,16.12903226,24.37275986,21.50537634,4.659498208,6.093189964,0,0,1.792114695,0,0,0,0.358422939,0,1.075268817,1.075268817,0.358422939,0,0,0,0.358422939,0,4.659498208,0,0,0,10.03584229,0,0,0.358422939,7.168458781
Season 6 Episode 19,21.31147541,16.39344262,0.409836066,11.8852459,9.836065574,0,0,1.229508197,0,0,0,1.639344262,21.72131148,0.409836066,1.639344262,1.229508197,0,0,0,1.229508197,1.229508197,0,0,0,0,8.196721311,0,0,0.409836066,1.229508197
Season 6 Episode 20,30.35714286,18.21428571,1.071428571,15.35714286,5.357142857,0,0,2.142857143,0,0,0,0.357142857,0,6.428571429,1.071428571,1.071428571,0,3.214285714,0,2.857142857,2.5,0,0,0,0.714285714,2.5,0,0,3.928571429,2.857142857
Season 6 Episode 21,25.08474576,11.18644068,10.50847458,11.52542373,11.86440678,0,0,5.762711864,0,0,0,6.779661017,0,2.033898305,0.338983051,1.694915254,0,3.389830508,0,1.355932203,0,0,0.338983051,0,0,5.423728814,0,0,0.338983051,2.372881356
Season 6 Episode 22,17.82945736,3.100775194,10.85271318,6.589147287,9.689922481,0,0,1.937984496,0,0,0,2.325581395,0,1.162790698,3.488372093,1.937984496,0,1.162790698,0,1.937984496,8.914728682,0,0,0,1.162790698,20.15503876,0,0,0,7.751937984
Season 6 Episode 23,30.1754386,12.98245614,9.473684211,15.78947368,1.052631579,0,0,1.052631579,0,0,0,3.157894737,0,1.403508772,0,1.403508772,0,1.403508772,0,9.824561404,5.263157895,0,0.350877193,0,0,3.157894737,0,0,0.701754386,2.807017544
Season 6 Episode 24,33.96226415,5.283018868,15.8490566,14.33962264,11.32075472,0,0,0,0,0,0,0.377358491,0,0,0.377358491,1.509433962,0,9.811320755,0,2.641509434,1.509433962,0,0.754716981,0,0,1.132075472,0,0,1.132075472,0
Season 6 Episode 25,27.79661017,7.118644068,10.16949153,12.20338983,13.89830508,0,0,5.762711864,0,0,0,1.016949153,0,2.711864407,1.016949153,3.728813559,0,1.355932203,0,1.694915254,2.033898305,0,1.355932203,0,1.694915254,3.728813559,0,0,0.677966102,2.033898305
Season 6 Episode 26,29.38596491,5.701754386,7.456140351,8.333333333,7.456140351,0,0,1.754385965,0,0,0,0.877192982,18.85964912,2.192982456,0,0.877192982,0.438596491,2.631578947,0,2.192982456,2.192982456,0,0.877192982,0,3.070175439,1.754385965,0,0,0.877192982,3.070175439
